cycles,frequency
63480000,0.01171875
55824000,0.00390625
56989000,0.01171875
56609000,0.00390625
60119000,0.05859375
64074000,0.01171875
60214000,0.00390625
63875000,0.01171875
64030000,0.01171875
56097000,0.00390625
56651000,0.00390625
64336000,0.0234375
64000000,0.01171875
62501000,0.078125
58778000,0.02734375
58851000,0.01171875
56544000,0.00390625
62623000,0.01171875
60211000,0.00390625
56219000,0.00390625
66564000,0.05859375
66224000,0.05859375
62637000,0.01171875
59946000,0.015625
56610000,0.00390625
60230000,0.01171875
60244000,0.00390625
58787000,0.01953125
56344000,0.00390625
60301000,0.00390625
53527000,0.0078125
60200000,0.01171875
56418000,0.00390625
64420000,0.05859375
60449000,0.00390625
60046000,0.00390625
56431000,0.00390625
63997000,0.01171875
56579000,0.00390625
58865000,0.01171875
56374000,0.00390625
56341000,0.00390625
62573000,0.078125
56101000,0.00390625
60869000,0.01171875
60414000,0.00390625
63809000,0.03515625
64461000,0.01171875
57277000,0.00390625
55896000,0.00390625
61313000,0.00390625
60274000,0.01171875
56627000,0.00390625
60726000,0.125
60712000,0.00390625
60288000,0.00390625
60750000,0.015625
64775000,0.03515625
60197000,0.01171875
