cycles,frequency
53527000,0.0078125
55824000,0.00390625
55896000,0.00390625
56097000,0.00390625
56101000,0.00390625
56219000,0.00390625
56341000,0.00390625
56344000,0.00390625
56374000,0.00390625
56418000,0.00390625
56431000,0.00390625
56544000,0.00390625
56579000,0.00390625
56609000,0.00390625
56610000,0.00390625
56627000,0.00390625
56651000,0.00390625
56989000,0.01171875
57277000,0.00390625
58778000,0.02734375
58787000,0.01953125
58851000,0.01171875
58865000,0.01171875
59946000,0.015625
60046000,0.00390625
60119000,0.05859375
60197000,0.01171875
60200000,0.01171875
60211000,0.00390625
60214000,0.00390625
60230000,0.01171875
60244000,0.00390625
60274000,0.01171875
60288000,0.00390625
60301000,0.00390625
60414000,0.00390625
60449000,0.00390625
60712000,0.00390625
60726000,0.125
60750000,0.015625
60869000,0.01171875
61313000,0.00390625
62501000,0.078125
62573000,0.078125
62623000,0.01171875
62637000,0.01171875
63480000,0.01171875
63809000,0.03515625
63875000,0.01171875
63997000,0.01171875
64000000,0.01171875
64030000,0.01171875
64074000,0.01171875
64336000,0.0234375
64420000,0.05859375
64461000,0.01171875
64775000,0.03515625
66224000,0.05859375
66564000,0.05859375
